"Website","Primary Email","All Emails","On-Domain"
"jasper.ai","","",""
"copy.ai","","",""
"writesonic.com","","",""
"rytr.me","","",""
"anyword.com","info@anyword.com","info@anyword.com","yes"
"hyperwriteai.com","","",""
"otter.ai","","",""
"fireflies.ai","support@fireflies.ai","fred@fireflies.ai; support@fireflies.ai","yes"
"lumen5.com","","",""
"pictory.ai","","",""
"synthesia.io","sales@synthesia.io","sales@synthesia.io","yes"
"heygen.com","support@heygen.com","support@heygen.com; press@heygen.com","yes"
"descript.com","","",""
"murf.ai","support@murf.ai","support@murf.ai; enterprise@murf.ai; alliances@murf.ai; tech@murf.ai; security@murf.ai","yes"
"elevenlabs.io","","",""
"runwayml.com","press@runwayml.com","press@runwayml.com; partnerships@runwayml.com","yes"
"kaiber.ai","","",""
"pika.art","support@pika.art","support@pika.art","yes"
"stability.ai","press@stability.ai","press@stability.ai; partners@stability.ai","yes"
"midjourney.com","","",""
"leonardo.ai","","",""
"firefly.adobe.com","","",""
"canva.com","","",""
"tome.app","","",""
"beautiful.ai","support@beautiful.ai","support@beautiful.ai","yes"
"gamma.app","","",""
"notion.so","","",""
"mem.ai","","",""
"taskade.com","support@taskade.com","support@taskade.com; showcase@taskade.com","yes"
"tldraw.com","","",""
"whimsical.com","","",""
"miro.com","","",""
"clickup.com","","",""
"monday.com","support@monday.com","support@monday.com","yes"
"asana.com","x@mail.asana.com","x@mail.asana.com","yes"
"linear.app","hello@linear.app","hello@linear.app; support@linear.app","yes"
"height.app","","",""
"plane.so","hello@plane.so","hello@plane.so","yes"
"basecamp.com","jason@basecamp.com","jason@basecamp.com","yes"
"niftypm.com","team@niftypm.com","team@niftypm.com","yes"
"craft.do","feedback@craft.do","feedback@craft.do; press@craft.do","yes"
"coda.io","press@grammarly.com","press@grammarly.com","no"
"airtable.com","","",""
"fibery.io","new@fibery.io","new@fibery.io","yes"
"rows.com","support@rows.com","support@rows.com","yes"
"equals.com","","",""
"causal.app","","",""
"peerlist.io","","",""
"beehiiv.com","","",""
"substack.com","tos@substackinc.com","tos@substackinc.com; press@substackinc.com","no"
"ghost.org","support@ghost.org","support@ghost.org","yes"
"typefully.com","","",""
"hypefury.com","","",""
"buffer.com","","",""
"hootsuite.com","","",""
"publer.io","","",""
"metricool.com","","",""
"taplio.com","","",""
"predis.ai","","",""
"postwise.ai","support@postwise.ai","support@postwise.ai","yes"
"lately.ai","sales@lately.ai","sales@lately.ai","yes"
"contentstudio.io","support@contentstudio.io","support@contentstudio.io","yes"
"socialbee.com","hello@socialbee.com","hello@socialbee.com","yes"
"pallyy.com","hey@pallyy.com","hey@pallyy.com","yes"
"meetedgar.com","support@meetedgar.com","support@meetedgar.com","yes"
"sprinklr.com","unifiedpartners@sprinklr.com","unifiedpartners@sprinklr.com; pr@sprinklr.com","yes"
"brandwatch.com","","",""
"sproutsocial.com","info@sproutsocial.com","info@sproutsocial.com; pr@sproutsocial.com","yes"
"emplifi.io","press@emplifi.io","press@emplifi.io","yes"
"keyhole.co","","",""
"brand24.com","help@brand24.com","help@brand24.com","yes"
"mention.com","","",""
"awario.com","","",""
"talkwalker.com","","",""
"digimind.com","","",""
"meltwater.com","privacy@meltwater.com","privacy@meltwater.com; informatie@meltwater.com; hei@meltwater.com; bonjour@meltwater.com; hej@meltwater.com","yes"
"semrush.com","mail@semrush.com","mail@semrush.com","yes"
"ahrefs.com","support@ahrefs.com","support@ahrefs.com; pr@ahrefs.com","yes"
"surferseo.com","support@surferseo.com","marketing@surferseo.com; support@surferseo.com; business@surferseo.com; sales@surferseo.com","yes"
"neuronwriter.com","","",""
"tidio.com","support@tidio.net","support@tidio.net","no"
"gorgias.com","","",""
"richpanel.com","","",""
"gladly.com","marketing@gladly.com","marketing@gladly.com","yes"
"kustomer.com","support@kustomer.com","support@kustomer.com","yes"
"dixa.com","friends@dixa.com","friends@dixa.com","yes"
"reamaze.com","support@reamaze.com","support@reamaze.com","yes"
"helpscout.com","","",""
"front.com","","",""
"groovehq.com","","",""
"hiverhq.com","sales@hiverhq.com","sales@hiverhq.com","yes"
"zoho.com","","",""
"intercom.com","press@intercom.com","press@intercom.com","yes"
"drift.com","","",""
"crisp.chat","","",""
"livechat.com","support@text.com","support@text.com; sales@text.com","no"
"userlike.com","support@lime-connect.com","support@lime-connect.com","no"
"tawk.to","support@tawk.to","support@tawk.to","yes"
"kommunicate.io","support@kommunicate.io","support@kommunicate.io","yes"
"landbot.io","","",""
"manychat.com","","",""
"chatfuel.com","team@chatfuel.com","team@chatfuel.com","yes"
"botstar.com","","",""
"botsify.com","hi@botsify.com","hi@botsify.com","yes"
"flowxo.com","support@flowxo.com","support@flowxo.com","yes"
"collect.chat","","",""
"typebot.io","","",""
"voiceflow.com","braden@voiceflow.com","braden@voiceflow.com","yes"
"botpress.com","","",""
"rasa.com","support@rasa.com","sales@rasa.com; support@rasa.com","yes"
"moveo.ai","info@moveo.ai","info@moveo.ai","yes"
"forethought.ai","info@forethought.ai","info@forethought.ai; press@forethought.ai","yes"
"kodif.io","","",""
"yuma.ai","hello@yuma.ai","hello@yuma.ai","yes"
"siena.cx","","",""
"mavenoid.com","","",""
"tiledesk.com","","",""
"chaport.com","","",""
"smartsupp.com","support@smartsupp.com","sales@smartsupp.com; support@smartsupp.com","yes"
"olark.com","support@olark.com","support@olark.com","yes"
"snapengage.com","","",""
"purechat.com","support@purechat.com","support@purechat.com","yes"
"providesupport.com","","",""
"zendesk.com","ask.philippines@zendesk.com","ask.philippines@zendesk.com; ask.thailand@zendesk.com; ask.indonesia@zendesk.com; ask.malaysia@zendesk.com; ask.gcr@zendesk.com","yes"
"salesforce.com","","",""
"hubspot.com","","",""
"pipedrive.com","visitors@pipedrive.com","visitors@pipedrive.com; press@pipedrive.com","yes"
"agilecrm.com","","",""
"capsulecrm.com","","",""
"close.com","","",""
"copper.com","","",""
"streak.com","","",""
"attio.com","","",""
"twenty.com","","",""
"folk.app","folks@folk.app","folks@folk.app","yes"
"getdex.com","contact@getdex.com","contact@getdex.com","yes"
"monicahq.com","","",""
"clay.com","support@clay.com","support@clay.com; press@clay.com","yes"
"apollo.io","press@apollo.io","press@apollo.io","yes"
"meesho.com","legalsupport@meesho.com","legalsupport@meesho.com","yes"
"mamaearth.in","support@mamaearth.in","support@mamaearth.in","yes"
"boat-lifestyle.com","info@imaginemarketingindia.com","info@imaginemarketingindia.com; careers@imaginemarketingindia.com","no"
"in.sugarcosmetics.com","hello@sugarcosmetics.com","hello@sugarcosmetics.com","yes"
"mcaffeine.com","woot@mcaffeine.com","woot@mcaffeine.com","yes"
"beminimalist.co","help@beminimalist.co","help@beminimalist.co; query@beminimalist.co; gaurav.singh@beminimalist.co; gifting@beminimalist.co","yes"
"wowskinscience.com","","",""
"plumgoodness.com","hello@plumgoodness.com","hello@plumgoodness.com","yes"
"pilgrimbeauty.com","","",""
"dotandkey.com","care@dotandkey.com","care@dotandkey.com","yes"
"thedermaco.com","care@thedermaco.com","support@thedermaco.com; care@thedermaco.com","yes"
"reequil.com","care@reequil.com","care@reequil.com; help@reequil.com","yes"
"foxtale.in","","",""
"prolixr.com","","",""
"juicychemistry.com","sales@juicychemistry.com","sales@juicychemistry.com","yes"
"bellavitaorganic.com","shop@bellavitaorganic.com","shop@bellavitaorganic.com","yes"
"beardo.in","support@beardo.in","support@beardo.in","yes"
"manmatters.com","support@manmatters.com","support@manmatters.com","yes"
"vedix.com","support@vedix.com","support@vedix.com","yes"
"traya.health","customercare@traya.health","customercare@traya.health","yes"
"bombayshavingcompany.com","","",""
"themancompany.com","care@themancompany.com","care@themancompany.com","yes"
"ustraa.com","help@ustraa.com","help@ustraa.com; sainik@ustraa.com","yes"
"skinkraft.com","support@skinkraft.com","support@skinkraft.com","yes"
"cureskin.com","hello@cureskin.com","hello@cureskin.com; pr@cureskin.com","yes"
"wellbeingnutrition.com","care@wellbeingnutrition.com","care@wellbeingnutrition.com; escalations@wellbeingnutrition.com","yes"
"oziva.in","community@oziva.in","community@oziva.in","yes"
"nykaafashion.com","support@nykaafashion.com","support@nykaafashion.com","yes"
"bewakoof.com","care@bewakoof.com","care@bewakoof.com; careers@bewakoof.com","yes"
"thesouledstore.com","","",""
"snitch.co.in","no-reply-order@snitch.co.in","no-reply-order@snitch.co.in","yes"
"pepperfry.com","cs@pepperfry.com","cs@pepperfry.com","yes"
"urbanladder.com","hello@urbanladder.com","hello@urbanladder.com; sourcing-enquiries@urbanladder.com","yes"
"wakefit.co","","",""
"sleepycat.in","info@sleepycat.in","no.reply@sleepycat.in; info@sleepycat.in","yes"
"sundayrest.com","hello@sundayrest.com","hello@sundayrest.com","yes"
"emma-sleep.in","support@emma-sleep.in","support@emma-sleep.in","yes"
"duroflex.com","","",""
"nestasia.in","info@nestasia.in","info@nestasia.in","yes"
"woodenstreet.com","care@woodenstreet.com","support@woodenstreet.com; care@woodenstreet.com","yes"
"gonoise.com","partnerships@nexxbase.com","partnerships@nexxbase.com","no"
"fire-boltt.com","","",""
"hammerlifestyle.com","","",""
"zebronics.com","support@zebronics.com","support@zebronics.com","yes"
"portronics.com","info@stagheaddesigns.com","info@stagheaddesigns.com","no"
"antesports.com","support@antesports.com","sales@antesports.com; support@antesports.com","yes"
"redgear.in","","",""
"cosmicbyte.in","","",""
"ambraneindia.com","care@ambraneindia.com","care@ambraneindia.com","yes"
"syska.in","","",""
"atomberg.com","contact@atomberg.com","support@atomberg.com; contact@atomberg.com","yes"
"pigeonlife.com","","",""
"prestigesmarthome.com","info@prestigesystems.in","info@prestigesystems.in","no"
"havells.com","customercare@havells.com","customercare@havells.com; grievance.officer@havells.com; marketing@havells.com; international@havells.com; investors@havells.com","yes"
"realme.com","","",""
"oneplus.in","onepluscare@oneplus.com","onepluscare@oneplus.com; security@oneplus.com","no"
"poco.in","","",""
"iqoo.com","","",""
"lavamobiles.com","","",""
"micromaxinfo.com","","",""
"itel-mobile.in","","",""
"tecno-mobile.com","","",""
"infinixmobiles.in","","",""
"vutvs.com","contact@vutvs.com","contact@vutvs.com","yes"
"thomsontelevisions.com","","",""
"kodaktv.in","","",""
"skyworth.in","","",""
"hisense.co.in","","",""
"tcl.com","indiasupport@tcl.com","indiasupport@tcl.com","yes"
"acer.com","","",""
"hp.com","","",""
"dell.com","","",""
"lenovo.com","orderstatus1@lenovo.com","orderstatus1@lenovo.com","yes"
"asus.com","","",""
"in.msi.com","","",""
"practo.com","support@practo.com","support@practo.com","yes"
"mfine.co","support@mfine.co","support@mfine.co","yes"
"1mg.com","","",""
"pharmeasy.in","care@pharmeasy.in","care@pharmeasy.in","yes"
"netmeds.com","cs@netmeds.com","cs@netmeds.com; doctors@netmeds.com; cs_diagnostics@netmeds.com","yes"
"apollo247.com","helpdesk@apollo247.com","helpdesk@apollo247.com; grievance@apollo247.com","yes"
"portea.com","bookings@portea.com","bookings@portea.com; customersupport@portea.com","yes"
"healthians.com","cs@healthians.com","cs@healthians.com; corporatesales@healthians.com; media@healthians.com; partners@healthians.com; marketing@healthians.com; careers@healthians.com; tech@healthians.com","yes"
"redcliffelabs.com","care@redcliffelabs.com","care@redcliffelabs.com","yes"
"cure.fit","hello@cult.fit","hello@cult.fit","no"
"healthifyme.com","support@healthifyme.com","support@healthifyme.com","yes"
"fitternity.com","","",""
"cult.fit","hello@cult.fit","hello@cult.fit","yes"
"niramai.com","contact@niramai.com","contact@niramai.com","yes"
"tricog.com","support@tricog.com","sales@tricog.com; marketing@tricog.com; careers@tricog.com; support@tricog.com","yes"
"qure.ai","partner@qure.ai","partner@qure.ai; careers@qure.ai","yes"
"sigtuple.com","info@sigtuple.com","info@sigtuple.com; demo@sigtuple.com","yes"
"darwinbox.com","contact@darwinbox.com","contact@darwinbox.com","yes"
"keka.com","support@keka.com","isales@keka.com; support@keka.com; marketing@keka.com","yes"
"greythr.com","info@greytip.com","sales.me@greytip.com; info@greytip.com","no"
"hrone.cloud","connect@hrone.cloud","connect@hrone.cloud; hr-one_support@hrone.cloud","yes"
"sumhr.com","help@sumhr.com","help@sumhr.com; humans@sumhr.com","yes"
"kredily.com","hello@kredily.com","hello@kredily.com; support@kredily.com","yes"
"pockethrms.com","support@pockethrms.com","sales@pockethrms.com; support@pockethrms.com","yes"
"hrmantra.com","sales@hrmantra.com","sales@hrmantra.com","yes"
"zimyo.com","support@zimyo.com","support@zimyo.com","yes"
"leena.ai","support@leena.ai","support@leena.ai","yes"
"workindia.in","help@workindia.in","help@workindia.in; issues@workindia.in","yes"
"apna.co","support@apna.co","support@apna.co; apna_escalations@apna.co","yes"
"internshala.com","support@internshala.com","support@internshala.com; complaints@internshala.com; university.relations@internshala.com; pr@internshala.com","yes"
"unstop.com","","",""
"cutshort.io","cs@cutshort.io","cs@cutshort.io","yes"
"iimjobs.com","hello@iimjobs.com","hello@iimjobs.com; info@iimjobs.com","yes"
"interviewmocha.com","contact@imocha.io","contact@imocha.io","no"
"mettl.com","contact@mettl.com","contact@mettl.com","yes"
"hackerearth.com","support@hackerearth.com","support@hackerearth.com; icc@hackerearth.com","yes"
"karat.com","support@karat.com","press@karat.com; partner@karat.com; support@karat.com","yes"
"betterplace.co.in","hello@betterplace.co.in","contact@betterplace.co.in; hello@betterplace.co.in","yes"
"unacademy.com","help@unacademy.com","press@unacademy.com; help@unacademy.com","yes"
"vedantu.com","vcare@vedantu.com","vcare@vedantu.com","yes"
"pw.live","support@pw.live","support@pw.live","yes"
"toppr.com","","",""
"embibe.com","","",""
"doubtnut.com","wecare@allen.in","wecare@allen.in","no"
"extramarks.com","info@extramarks.com","customersupport@extramarks.com; info@extramarks.com; live@extramarks.com","yes"
"eruditus.com","info@emeritus.org","info@emeritus.org; programsupport@emeritus.org; media@emeritus.org; partnerships@emeritus.org","no"
"upgrad.com","customercare@upgrad.com","customercare@upgrad.com; enterprise@upgrad.com; grievance.redressal@upgrad.com","yes"
"simplilearn.com","customersuccess@simplilearn.net","customersuccess@simplilearn.net","no"
"mygreatlearning.com","info@mygreatlearning.com","info@mygreatlearning.com; press@mygreatlearning.com","yes"
"masaischool.com","admissions@masaischool.com","admissions@masaischool.com","yes"
"scaler.com","hello@scaler.com","info@scaler.com; hello@scaler.com","yes"
"codingninjas.com","contact@codingninjas.com","contact@codingninjas.com","yes"
"newtonschool.co","support@newtonschool.co","support@newtonschool.co","yes"
"springboard.com","","",""
"learnbay.co","contacts@learnbay.co","contacts@learnbay.co","yes"
"analyticsvidhya.com","","",""
"datacamp.com","","",""
"herovired.com","hello@herovired.com","hello@herovired.com; enterprise@herovired.com; press@herovired.com","yes"
"talentedge.com","","",""
"niit.com","","",""
"oliveboard.in","","",""
"testbook.com","support@testbook.com","support@testbook.com","yes"
"adda247.com","support@adda247.com","support@adda247.com","yes"
"edurev.in","support@edurev.in","support@edurev.in","yes"
"toprankers.com","support@toprankers.com","support@toprankers.com","yes"
"vskills.in","","",""
"iide.co","social@iide.co","social@iide.co; admissions@iide.co; careers@iide.co; marketing@iide.co; placements@iide.co","yes"
"digitalvidya.com","info@digitalvidya.com","business@digitalvidya.com; info@digitalvidya.com","yes"
"wscubetech.com","support@wscubetech.com","jaipur@wscubetech.com; support@wscubetech.com; learner@wscubetech.com","yes"
"henryharvin.com","","",""
"coursera.org","","",""
"edx.org","","",""
"udemy.com","","",""
"skillshare.com","help@skillshare.com","help@skillshare.com; legal@skillshare.com; teach@skillshare.com; teamhelp@skillshare.com","yes"
"udacity.com","media@udacity.com","media@udacity.com","yes"
"pluralsight.com","","",""
"linkedin.com","","",""
"degreed.com","","",""
"cornerstoneondemand.com","","",""
"talentlms.com","","",""
"docebo.com","","",""
"moodle.org","","",""
"instructure.com","","",""
"blackboard.com","","",""
"powerschool.com","","",""
"classdojo.com","security@classdojo.com","security@classdojo.com","yes"
"pratilipi.com","contact@pratilipi.com","contact@pratilipi.com","yes"
"storymirror.com","admin@storymirror.com","admin@storymirror.com; marketing@storymirror.com","yes"
"readjuggernaut.com","","",""
"razorpay.com","","",""
"cashfree.com","care@cashfree.com","care@cashfree.com","yes"
"payu.in","","",""
"ccavenue.com","contact@ccavenue.com","contact@ccavenue.com","yes"
"instamojo.com","support@instamojo.com","support@instamojo.com; jobs@instamojo.com; press@instamojo.com","yes"
"business.paytm.com","onboarding.support@paytmpayments.com","onboarding.support@paytmpayments.com","no"
"billdesk.com","","",""
"juspay.in","biz@juspay.in","biz@juspay.in; media@juspay.in; bizpayment@juspay.in","yes"
"setu.co","sales@setu.co","sales@setu.co","yes"
"decentro.tech","","",""
"finvu.in","","",""
"perfios.com","info@perfios.com","info@perfios.com","yes"
"signzy.com","connect@signzy.com","connect@signzy.com","yes"
"idfy.com","","",""
"bureau.id","sales@bureau.id","sales@bureau.id; jon@bureau.id","yes"
"digio.in","support@digio.in","support@digio.in","yes"
"leegality.com","support@leegality.com","enquiry@leegality.com; support@leegality.com","yes"
"signdesk.com","","",""
"vyaparapp.in","","",""
"margcompusoft.com","","",""
"bizanalyst.in","help@siliconveins.com","help@siliconveins.com","no"
"khatabook.com","feedback@khatabook.com","feedback@khatabook.com","yes"
"okcredit.in","contact@okcredit.in","contact@okcredit.in; help@okcredit.in","yes"
"enkash.com","support@enkash.com","support@enkash.com; careers@enkash.com; marketing@enkash.com","yes"
"happay.com","help@happay.com","sales@happay.com; help@happay.com","yes"
"zaggle.in","care@zaggle.in","care@zaggle.in; team@zaggle.in","yes"
"fi.money","hello@fi.money","hello@fi.money; press@fi.money","yes"
"jupiter.money","contact@jupiter.money","community@jupiter.money; edge-csb-support@jupiter.money; support@jupiter.money; contact@jupiter.money","yes"
"niyo.co","info@niyo.co","info@niyo.co","yes"
"freo.money","","",""
"sliceit.com","","",""
"uni.cards","","",""
"getonecard.app","","",""
"kreditbee.in","","",""
"moneytap.com","hello@moneytap.com","hello@moneytap.com","yes"
"cashe.co.in","support@cashe.co.in","support@cashe.co.in","yes"
"lazypay.in","wecare@lazypay.in","wecare@lazypay.in","yes"
"zestmoney.in","help@zestmoney.in","help@zestmoney.in","yes"
"kissht.com","care@kissht.com","care@kissht.com; mediaenquiries@kissht.com","yes"
"stashfin.com","grievance.officer@stashfin.com","grievance.officer@stashfin.com","yes"
"loantap.in","cs.fintech@loantap.in","cs.fintech@loantap.in","yes"
"capitalfloat.com","","",""
"lendingkart.com","care@lendingkart.com","care@lendingkart.com; grievance.redressal@lendingkart.com","yes"
"flexiloans.com","support@flexiloans.com","support@flexiloans.com; connect@flexiloans.com; partnerships@flexiloans.com; media@flexiloans.com","yes"
"neogrowth.in","","",""
"indifi.com","sales@indifi.com","cs@indifi.com; saas@indifi.com; sales@indifi.com; grievances@indifi.com","yes"
"rupifi.com","contact@rupifi.com","contact@rupifi.com","yes"
"cred.club","","",""
"banksathi.com","customer@banksathi.com","customer@banksathi.com","yes"
"paisabazaar.com","care@paisabazaar.com","care@paisabazaar.com; creditreport@paisabazaar.com; mutualfunds@paisabazaar.com; gold@paisabazaar.com","yes"
"policybazaar.com","care@policybazaar.com","care@policybazaar.com","yes"
"coverfox.com","help@coverfox.com","help@coverfox.com; careers@coverfox.com","yes"
"acko.com","hello@acko.com","hello@acko.com; health@acko.com; travelinsurance@acko.com; support.life@acko.com","yes"
"godigit.com","hello@godigit.com","hello@godigit.com; grievance@godigit.com; joinus@godigit.com; mediarelations@godigit.com","yes"
"turtlemint.com","support@turtlemint.com","support@turtlemint.com; careers@turtlemint.com; pospsupport@turtlemint.com","yes"
"insurancedekho.com","support@insurancedekho.com","support@insurancedekho.com","yes"
"loophealth.com","info@loophealth.com","info@loophealth.com; joinus@loophealth.com","yes"
"plumhq.com","connect@plumhq.com","media@plumhq.com; sales@plumhq.com; connect@plumhq.com","yes"
"onsurity.com","","",""
"novabenefits.com","support@nova-benefits.com","support@nova-benefits.com; support@getnovaapp.com","no"
"navi.com","","",""
"kuvera.in","","",""
"groww.in","support@groww.in","support@groww.in","yes"
"zerodha.com","","",""
"upstox.com","support@upstox.com","support@upstox.com; compliance@upstox.com; complaints@upstox.com","yes"
"angelone.in","support@angelone.in","legal@angelone.in; support@angelone.in; escalation@angelone.in; compliance@angelone.in","yes"
"5paisa.com","support@5paisa.com","support@5paisa.com; dp.grievance@5paisa.com; ciso@5paisa.com","yes"
"miraeassetcm.com","","",""
"fisdom.com","compliance@fisdom.com","compliance@fisdom.com; grievances@fisdom.com","yes"
"smallcase.com","support@smallcase.com","support@smallcase.com; work@smallcase.com; press@smallcase.com","yes"
"dhan.co","help@dhan.co","help@dhan.co; grievance@dhan.co; complianceofficer@dhan.co","yes"
"fyers.in","support@fyers.in","support@fyers.in; partner-support@fyers.in; api-support@fyers.in; grievance@fyers.in","yes"
"samco.in","support@samco.in","support@samco.in; samcopartners@samco.in; info@samco.in","yes"
"paytmmoney.com","exg.support@paytmmoney.com","exg.support@paytmmoney.com; feedback@paytmmoney.com","yes"
"etmoney.com","po@etmoney.com","po@etmoney.com; careers@etmoney.com","yes"
"coin.zerodha.com","","",""
"indmoney.com","","",""
"wealthy.in","partner.support@wealthy.in","partner.support@wealthy.in; customer.support@wealthy.in; compliance@wealthy.in","yes"
"goalwise.com","","",""
"scripbox.com","help@scripbox.com","help@scripbox.com","yes"
"nobroker.in","assist@nobroker.in","assist@nobroker.in","yes"
"housing.com","support@housing.com","support@housing.com","yes"
"magicbricks.com","","",""
"99acres.com","services@99acres.com","services@99acres.com; feedback@99acres.com; legal@99acres.com","yes"
"squareyards.com","connect@squareyards.com","customercare@squareyards.com; connect@squareyards.com; careers@squareyards.com","yes"
"proptiger.com","customer.service@proptiger.com","customer.service@proptiger.com","yes"
"nestaway.com","help@nestaway.com","help@nestaway.com","yes"
"stanzaliving.com","operations@stanzaliving.com","operations@stanzaliving.com","yes"
"zolostays.com","info@zolostays.com","info@zolostays.com","yes"
"oyorooms.com","guestsupport.na@oyorooms.com","guestsupport.na@oyorooms.com","yes"
"treebo.com","hello@treebohotels.com","hello@treebohotels.com","no"
"fabhotels.com","support@fabhotels.com","support@fabhotels.com; bookings@fabhotels.com; feedback@fabhotels.com; partners@fabhotels.com; travelagents@fabhotels.com; jobs@fabhotels.com","yes"
"colive.com","","",""
"coho.co.in","","",""
"settl.in","hello@settlin.in","hello@settlin.in","no"
"apartmentadda.com","sales@adda.io","sales@adda.io","no"
"mygate.com","contact@mygate.com","contact@mygate.com","yes"
"nobrokerhood.com","","",""
"godrejproperties.com","","",""
"prestigeconstructions.com","investors@prestigeconstructions.com","investors@prestigeconstructions.com","yes"
"sobha.com","marketing@sobha.com","marketing@sobha.com; cpd.sales@sobha.com","yes"
"brigadegroup.com","here4you@brigadegroup.com","here4you@brigadegroup.com; pr@brigadegroup.com; salesenquiry@brigadegroup.com","yes"
"mahindralifespaces.com","info@mahindralifespaces.com","info@mahindralifespaces.com","yes"
"lntrealty.com","homes@larsentoubro.com","homes@larsentoubro.com","no"
"puravankara.com","sales@puravankara.com","sales@puravankara.com; crm@puravankara.com","yes"
"koltepatil.com","sales@koltepatil.com","sales@koltepatil.com; service@koltepatil.com","yes"
"hiranandani.com","sales@hiranandani.net","sales@hiranandani.net","no"
"lodhagroup.in","service.support@lodhagroup.com","service.support@lodhagroup.com; careers@lodhagroup.com","no"
"dlf.in","info@dlf.in","info@dlf.in","yes"
"emaar.com","","",""
"m3mindia.com","sales@m3mindia.com","media@m3mindia.com; sales@m3mindia.com; feedback@m3mindia.com","yes"
"signatureglobal.in","info@signatureglobal.in","customercare@signatureglobal.in; info@signatureglobal.in; feedback@signatureglobal.in; media@signatureglobal.in","yes"
"shapoorjipallonji.com","","",""
"embassygroup.in","","",""
"omaxe.com","mail@omaxe.com","mail@omaxe.com","yes"
"gaursgroup.com","","",""
"rahejadev.com","","",""
"eldeco.in","","",""
"supertechindia.com","","",""
"pyramidinfratech.com","","",""
"atshomekraft.com","","",""
"tatahousing.in","tatacare@tatahousing.com","tatacare@tatahousing.com","no"
"oberoirealty.com","ir@oberoirealty.com","ir@oberoirealty.com; bd@oberoirealty.com","yes"
"housr.in","customersupport@housr.in","customersupport@housr.in; hr@housr.in","yes"
"goodspace.co","","",""
"stayabode.com","","",""
"your-space.in","info@your-space.in","info@your-space.in","yes"
"rentofly.com","info@rentofly.com","info@rentofly.com","yes"
"furlenco.com","","",""
"rentomojo.com","jo@rentomojo.com","jo@rentomojo.com","yes"
"olaelectric.com","support@olaelectric.com","ir@olaelectric.com; support@olaelectric.com","yes"
"atherenergy.com","customercare@atherenergy.com","customercare@atherenergy.com","yes"
"heroelectric.in","","",""
"bounce.bike","","",""
"yulu.bike","","",""
"rapido.bike","","",""
"pureev.in","","",""
"okinawa.co.in","","",""
"revoltmotors.com","contact@revoltmotors.com","contact@revoltmotors.com","yes"
"torkmotors.com","","",""
"simpleenergy.in","care@simpleenergy.in","care@simpleenergy.in","yes"
"river.in","","",""
"ultraviolette.com","support@ultraviolette.com","support@ultraviolette.com; info@ultraviolette.com; careers@ultraviolette.com","yes"
"kabiramobility.com","info@kabiramobility.com","info@kabiramobility.com; helpdesk@kabiramobility.com","yes"
"greaveselectric.com","","",""
"amperevehicles.com","","",""
"kineticgreen.in","","",""
"matter.in","","",""
"lalamove.com","","",""
"porter.in","help@theporter.in","help@theporter.in","no"
"shiprocket.in","","",""
"delhivery.com","","",""
"ecomexpress.in","","",""
"shadowfax.in","hello@shadowfax.in","hello@shadowfax.in; careers@shadowfax.in; media@shadowfax.in","yes"
"xpressbees.com","","",""
"dunzo.com","","",""
"zeptonow.com","support@zeptonow.com","support@zeptonow.com","yes"
"blinkit.com","","",""
"swiggy.com","","",""
"bigbasket.com","","",""
"milkbasket.com","","",""
"countrydelight.in","","",""
"licious.in","","",""
"freshtohome.com","customercare@freshtohome.com","customercare@freshtohome.com; careers@freshtohome.com; media@freshtohome.com","yes"
"meatigo.com","","",""
"ninjacart.in","","",""
"waycoolfoods.com","","",""
"dehaat.com","","",""
"jaikisan.co","","",""
"agrostar.in","","",""
"bighaat.com","","",""
"cropin.com","","",""
"fasal.co","connect@wolkus.com","connect@wolkus.com","no"
"satsure.co","info@satsure.co","info@satsure.co; eosolutions@satsure.co","yes"
"stellapps.com","grievance.committee@stellapps.com","grievance.committee@stellapps.com","yes"
"animall.in","","",""
"aquaconnect.blue","info@aquaconnect.blue","gr.support@aquaconnect.blue; info@aquaconnect.blue","yes"
"intellolabs.com","hello@intellolabs.com","hello@intellolabs.com; contact@intellolabs.com","yes"
"farmeasy.co","admin@farmeasy.co","admin@farmeasy.co","yes"
"kisaantrade.com","info@kisaantrade.com","info@kisaantrade.com","yes"
"zomato.com","","",""
"dotpe.in","","",""
"petpooja.com","inquiry@petpooja.com","inquiry@petpooja.com; getposs@petpooja.com","yes"
"gofrugal.com","","",""
"posist.com","support@posist.com","support@posist.com","yes"
"restroworks.com","info@restroworks.com","info@restroworks.com","yes"
"inresto.com","","",""
"torqus.com","","",""
"urbanpiper.com","support@urbanpiper.com","sales@urbanpiper.com; support@urbanpiper.com; partnerships@urbanpiper.com","yes"
"eatclub.in","hello@eatclub.in","hello@eatclub.in; corporatesales@eatclub.in; partnerships@eatclub.in","yes"
"rebelfoods.com","info@rebelfoods.com","info@rebelfoods.com; careers@rebelfoods.com; franchising@rebelfoods.com","yes"
