"Email","Company","Website","On-Domain"
"info@anyword.com","Anyword","anyword.com","yes"
"support@fireflies.ai","Fireflies","fireflies.ai","yes"
"sales@synthesia.io","Synthesia","synthesia.io","yes"
"support@heygen.com","Heygen","heygen.com","yes"
"support@murf.ai","Murf","murf.ai","yes"
"press@runwayml.com","Runwayml","runwayml.com","yes"
"support@pika.art","Pika","pika.art","yes"
"press@stability.ai","Stability","stability.ai","yes"
"support@beautiful.ai","Beautiful","beautiful.ai","yes"
"support@taskade.com","Taskade","taskade.com","yes"
"support@monday.com","Monday","monday.com","yes"
"x@mail.asana.com","Asana","asana.com","yes"
"hello@linear.app","Linear","linear.app","yes"
"hello@plane.so","Plane","plane.so","yes"
"jason@basecamp.com","Basecamp","basecamp.com","yes"
"team@niftypm.com","Niftypm","niftypm.com","yes"
"feedback@craft.do","Craft","craft.do","yes"
"press@grammarly.com","Coda","coda.io","no"
"new@fibery.io","Fibery","fibery.io","yes"
"support@rows.com","Rows","rows.com","yes"
"tos@substackinc.com","Substack","substack.com","no"
"support@ghost.org","Ghost","ghost.org","yes"
"support@postwise.ai","Postwise","postwise.ai","yes"
"sales@lately.ai","Lately","lately.ai","yes"
"support@contentstudio.io","Contentstudio","contentstudio.io","yes"
"hello@socialbee.com","Socialbee","socialbee.com","yes"
"hey@pallyy.com","Pallyy","pallyy.com","yes"
"support@meetedgar.com","Meetedgar","meetedgar.com","yes"
"unifiedpartners@sprinklr.com","Sprinklr","sprinklr.com","yes"
"info@sproutsocial.com","Sproutsocial","sproutsocial.com","yes"
"press@emplifi.io","Emplifi","emplifi.io","yes"
"help@brand24.com","Brand24","brand24.com","yes"
"privacy@meltwater.com","Meltwater","meltwater.com","yes"
"mail@semrush.com","Semrush","semrush.com","yes"
"support@ahrefs.com","Ahrefs","ahrefs.com","yes"
"support@surferseo.com","Surferseo","surferseo.com","yes"
"support@tidio.net","Tidio","tidio.com","no"
"marketing@gladly.com","Gladly","gladly.com","yes"
"support@kustomer.com","Kustomer","kustomer.com","yes"
"friends@dixa.com","Dixa","dixa.com","yes"
"support@reamaze.com","Reamaze","reamaze.com","yes"
"sales@hiverhq.com","Hiverhq","hiverhq.com","yes"
"press@intercom.com","Intercom","intercom.com","yes"
"support@text.com","Livechat","livechat.com","no"
"support@lime-connect.com","Userlike","userlike.com","no"
"support@tawk.to","Tawk","tawk.to","yes"
"support@kommunicate.io","Kommunicate","kommunicate.io","yes"
"team@chatfuel.com","Chatfuel","chatfuel.com","yes"
"hi@botsify.com","Botsify","botsify.com","yes"
"support@flowxo.com","Flowxo","flowxo.com","yes"
"braden@voiceflow.com","Voiceflow","voiceflow.com","yes"
"support@rasa.com","Rasa","rasa.com","yes"
"info@moveo.ai","Moveo","moveo.ai","yes"
"info@forethought.ai","Forethought","forethought.ai","yes"
"hello@yuma.ai","Yuma","yuma.ai","yes"
"support@smartsupp.com","Smartsupp","smartsupp.com","yes"
"support@olark.com","Olark","olark.com","yes"
"support@purechat.com","Purechat","purechat.com","yes"
"ask.philippines@zendesk.com","Zendesk","zendesk.com","yes"
"visitors@pipedrive.com","Pipedrive","pipedrive.com","yes"
"folks@folk.app","Folk","folk.app","yes"
"contact@getdex.com","Getdex","getdex.com","yes"
"support@clay.com","Clay","clay.com","yes"
"press@apollo.io","Apollo","apollo.io","yes"
"legalsupport@meesho.com","Meesho","meesho.com","yes"
"support@mamaearth.in","Mamaearth","mamaearth.in","yes"
"info@imaginemarketingindia.com","Boat Lifestyle","boat-lifestyle.com","no"
"hello@sugarcosmetics.com","Sugarcosmetics","in.sugarcosmetics.com","yes"
"woot@mcaffeine.com","Mcaffeine","mcaffeine.com","yes"
"help@beminimalist.co","Beminimalist","beminimalist.co","yes"
"hello@plumgoodness.com","Plumgoodness","plumgoodness.com","yes"
"care@dotandkey.com","Dotandkey","dotandkey.com","yes"
"care@thedermaco.com","Thedermaco","thedermaco.com","yes"
"care@reequil.com","Reequil","reequil.com","yes"
"sales@juicychemistry.com","Juicychemistry","juicychemistry.com","yes"
"shop@bellavitaorganic.com","Bellavitaorganic","bellavitaorganic.com","yes"
"support@beardo.in","Beardo","beardo.in","yes"
"support@manmatters.com","Manmatters","manmatters.com","yes"
"support@vedix.com","Vedix","vedix.com","yes"
"customercare@traya.health","Traya","traya.health","yes"
"care@themancompany.com","Themancompany","themancompany.com","yes"
"help@ustraa.com","Ustraa","ustraa.com","yes"
"support@skinkraft.com","Skinkraft","skinkraft.com","yes"
"hello@cureskin.com","Cureskin","cureskin.com","yes"
"care@wellbeingnutrition.com","Wellbeingnutrition","wellbeingnutrition.com","yes"
"community@oziva.in","Oziva","oziva.in","yes"
"support@nykaafashion.com","Nykaafashion","nykaafashion.com","yes"
"care@bewakoof.com","Bewakoof","bewakoof.com","yes"
"no-reply-order@snitch.co.in","Co","snitch.co.in","yes"
"cs@pepperfry.com","Pepperfry","pepperfry.com","yes"
"hello@urbanladder.com","Urbanladder","urbanladder.com","yes"
"info@sleepycat.in","Sleepycat","sleepycat.in","yes"
"hello@sundayrest.com","Sundayrest","sundayrest.com","yes"
"support@emma-sleep.in","Emma Sleep","emma-sleep.in","yes"
"info@nestasia.in","Nestasia","nestasia.in","yes"
"care@woodenstreet.com","Woodenstreet","woodenstreet.com","yes"
"partnerships@nexxbase.com","Gonoise","gonoise.com","no"
"support@zebronics.com","Zebronics","zebronics.com","yes"
"info@stagheaddesigns.com","Portronics","portronics.com","no"
"support@antesports.com","Antesports","antesports.com","yes"
"care@ambraneindia.com","Ambraneindia","ambraneindia.com","yes"
"contact@atomberg.com","Atomberg","atomberg.com","yes"
"info@prestigesystems.in","Prestigesmarthome","prestigesmarthome.com","no"
"customercare@havells.com","Havells","havells.com","yes"
"onepluscare@oneplus.com","Oneplus","oneplus.in","no"
"contact@vutvs.com","Vutvs","vutvs.com","yes"
"indiasupport@tcl.com","Tcl","tcl.com","yes"
"orderstatus1@lenovo.com","Lenovo","lenovo.com","yes"
"support@practo.com","Practo","practo.com","yes"
"support@mfine.co","Mfine","mfine.co","yes"
"care@pharmeasy.in","Pharmeasy","pharmeasy.in","yes"
"cs@netmeds.com","Netmeds","netmeds.com","yes"
"helpdesk@apollo247.com","Apollo247","apollo247.com","yes"
"bookings@portea.com","Portea","portea.com","yes"
"cs@healthians.com","Healthians","healthians.com","yes"
"care@redcliffelabs.com","Redcliffelabs","redcliffelabs.com","yes"
"hello@cult.fit","Cure","cure.fit","no"
"support@healthifyme.com","Healthifyme","healthifyme.com","yes"
"hello@cult.fit","Cult","cult.fit","yes"
"contact@niramai.com","Niramai","niramai.com","yes"
"support@tricog.com","Tricog","tricog.com","yes"
"partner@qure.ai","Qure","qure.ai","yes"
"info@sigtuple.com","Sigtuple","sigtuple.com","yes"
"contact@darwinbox.com","Darwinbox","darwinbox.com","yes"
"support@keka.com","Keka","keka.com","yes"
"info@greytip.com","Greythr","greythr.com","no"
"connect@hrone.cloud","Hrone","hrone.cloud","yes"
"help@sumhr.com","Sumhr","sumhr.com","yes"
"hello@kredily.com","Kredily","kredily.com","yes"
"support@pockethrms.com","Pockethrms","pockethrms.com","yes"
"sales@hrmantra.com","Hrmantra","hrmantra.com","yes"
"support@zimyo.com","Zimyo","zimyo.com","yes"
"support@leena.ai","Leena","leena.ai","yes"
"help@workindia.in","Workindia","workindia.in","yes"
"support@apna.co","Apna","apna.co","yes"
"support@internshala.com","Internshala","internshala.com","yes"
"cs@cutshort.io","Cutshort","cutshort.io","yes"
"hello@iimjobs.com","Iimjobs","iimjobs.com","yes"
"contact@imocha.io","Interviewmocha","interviewmocha.com","no"
"contact@mettl.com","Mettl","mettl.com","yes"
"support@hackerearth.com","Hackerearth","hackerearth.com","yes"
"support@karat.com","Karat","karat.com","yes"
"hello@betterplace.co.in","Co","betterplace.co.in","yes"
"help@unacademy.com","Unacademy","unacademy.com","yes"
"vcare@vedantu.com","Vedantu","vedantu.com","yes"
"support@pw.live","Pw","pw.live","yes"
"wecare@allen.in","Doubtnut","doubtnut.com","no"
"info@extramarks.com","Extramarks","extramarks.com","yes"
"info@emeritus.org","Eruditus","eruditus.com","no"
"customercare@upgrad.com","Upgrad","upgrad.com","yes"
"customersuccess@simplilearn.net","Simplilearn","simplilearn.com","no"
"info@mygreatlearning.com","Mygreatlearning","mygreatlearning.com","yes"
"admissions@masaischool.com","Masaischool","masaischool.com","yes"
"hello@scaler.com","Scaler","scaler.com","yes"
"contact@codingninjas.com","Codingninjas","codingninjas.com","yes"
"support@newtonschool.co","Newtonschool","newtonschool.co","yes"
"contacts@learnbay.co","Learnbay","learnbay.co","yes"
"hello@herovired.com","Herovired","herovired.com","yes"
"support@testbook.com","Testbook","testbook.com","yes"
"support@adda247.com","Adda247","adda247.com","yes"
"support@edurev.in","Edurev","edurev.in","yes"
"support@toprankers.com","Toprankers","toprankers.com","yes"
"social@iide.co","Iide","iide.co","yes"
"info@digitalvidya.com","Digitalvidya","digitalvidya.com","yes"
"support@wscubetech.com","Wscubetech","wscubetech.com","yes"
"help@skillshare.com","Skillshare","skillshare.com","yes"
"media@udacity.com","Udacity","udacity.com","yes"
"security@classdojo.com","Classdojo","classdojo.com","yes"
"contact@pratilipi.com","Pratilipi","pratilipi.com","yes"
"admin@storymirror.com","Storymirror","storymirror.com","yes"
"care@cashfree.com","Cashfree","cashfree.com","yes"
"contact@ccavenue.com","Ccavenue","ccavenue.com","yes"
"support@instamojo.com","Instamojo","instamojo.com","yes"
"onboarding.support@paytmpayments.com","Paytm","business.paytm.com","no"
"biz@juspay.in","Juspay","juspay.in","yes"
"sales@setu.co","Setu","setu.co","yes"
"info@perfios.com","Perfios","perfios.com","yes"
"connect@signzy.com","Signzy","signzy.com","yes"
"sales@bureau.id","Bureau","bureau.id","yes"
"support@digio.in","Digio","digio.in","yes"
"support@leegality.com","Leegality","leegality.com","yes"
"help@siliconveins.com","Bizanalyst","bizanalyst.in","no"
